HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_SOFTWARE	DE_IDENTIFIED	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	LICENSE	IMAGE_MODALITY	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	IMAGING_PROTOCOL	IMAGING_SOFTWARE	CITATION_OR_DOI	STAINING_METHOD	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	PASSED_QC	QC_COMMENT	SPECIES	SEGMENTATION_WORKFLOW_TYPE	SEGMENTATION_WORKFLOW_VERSION	SEGMENTATION_WORKFLOW_URL	SEGMENTATION_METHOD	SEGMENTATION_ANNOTATION_TYPE	SEGMENTATION_PARAMETERS
HTA210_11_D11	HTA210_11_B11	sample011_mask.ome.tf8	ome-tiff	Pathological	Automatic	Automated PHI detection and removal	SmartDeID v4.0	true	false		CC BY 4.0	SM	Olympus	FV3000	https://protocols.io/view/olympus-imaging-abc890	FluoView	https://doi.org/10.1016/j.cell.2019.08.013	Multiplexed Ion Beam Imaging	UPLSAPO 30x/1.05	30	1.05	Silicone Oil	true	Optimal imaging conditions	9606 (Homo sapiens)	Ensemble Segmentation	2.3.0	https://github.com/lab/ensemble-seg	Ensemble of Models	Cell Boundary	models=[cellpose,stardist,unet], voting=soft
HTA211_12_D12	HTA211_12_B12	sample012_mask.ome.btf	ome-tiff	Pathological	Not Applicable		Not Required	true	false		CC BY 4.0	SM	Carl Zeiss	Elyra 7	https://protocols.io/view/super-resolution-def123	ZEN Black	https://doi.org/10.1038/s41592-020-0815-9	Multiplexed Error-Robust FISH	Plan-Apochromat 63x/1.46	63	1.46	Oil	true	Super-resolution quality	9606 (Homo sapiens)	Spot Detection Workflow	1.0.5	https://github.com/lab/spot-detection	TrackMate	RNA Spot	spot_radius=0.5, threshold=100
HTA212_13_D13	HTA212_13_B13	sample013_mask.tiff	tiff	Pathological	Manual	Manual inspection and redaction	Human Review	true	true	true	CC BY 4.0	SM	PerkinElmer	Opera Phenix	https://protocols.io/view/high-content-imaging-ghi456	Harmony	https://doi.org/10.1038/s41467-021-21246-9	Signal Amplification by Exchange Reaction	Objective 40x/1.15	40	1.15	Water Immersion	true	High content screening data	9606 (Homo sapiens)	Active Contour Segmentation	1.4.0	https://github.com/lab/active-contour	Snake Algorithm	Cell Contour	iterations=100, alpha=0.01, beta=0.1
HTA213_14_D14	HTA213_14_B14	sample014_mask.tif	tif	Pathological	Semiautomatic	Semi-automated pipeline with QC	PHI-Guard v3.2	true	true	true	CC BY 4.0	SM	Akoya Biosciences	CODEX	https://protocols.io/view/codex-protocol-jkl789	CODEX Processor	https://doi.org/10.1016/j.cell.2018.07.010	CODEX	Plan Apo 20x/0.75	20	0.75	Air	true	CODEX run successful	9606 (Homo sapiens)	Superpixel Segmentation	1.2.5	https://github.com/lab/superpixel-seg	SLIC Algorithm	Superpixel	n_segments=1000, compactness=10
HTA214_15_D15	HTA214_15_B15	sample015_mask.ome.tif	ome-tiff	Pathological	Automatic	Automated de-identification system	AutoPHI v2.8	true	false		CC BY 4.0	SM	Zeiss	Celldiscoverer 7	https://protocols.io/view/live-cell-imaging-mno012	ZEN Core	https://doi.org/10.1038/s41586-020-2496-1	Tissue-based Cyclic IF	Plan-Apochromat 20x/0.95	20	0.95	Air	true	Live cell imaging quality	9606 (Homo sapiens)	Region Growing Segmentation	1.0.8	https://github.com/lab/region-growing	Region Growing	Tissue Compartment	seed_threshold=50, similarity=0.8
HTA215_16_D16	HTA215_16_B16	sample016_mask.ome.tiff	ome-tiff	Pathological	Manual	Manual de-identification procedure	N/A	true	true	true	CC BY 4.0	SM	Leica	Stellaris 8	https://protocols.io/view/stellaris-protocol-pqr345	Leica Application Suite	https://doi.org/10.1126/science.aax2656	H&E	HC PL APO 40x/1.30	40	1.3	Glycerol Immersion	true	Standard H&E staining	9606 (Homo sapiens)	Morphological Segmentation	2.0.5	https://github.com/lab/morphological-seg	Morphological Operations	Nucleus	operation=opening, kernel_size=3
HTA216_17_D17	HTA216_17_B17	sample017_mask.ome.tf2	ome-tiff	Pathological	Semiautomatic	Semi-automated with expert review	DeID Expert v1.9	true	true	true	CC BY 4.0	SM	Nikon	Eclipse Ti2	https://protocols.io/view/widefield-imaging-stu678	NIS-Elements AR	https://doi.org/10.1038/s41467-019-13307-x	IHC	CFI Plan Fluor 10x/0.30	10	0.3	Air	true	Low magnification overview	9606 (Homo sapiens)	Contour Detection	1.1.5	https://github.com/lab/contour-detection	OpenCV Contours	Tissue Section	mode=external, method=simple
HTA217_18_D18	HTA217_18_B18	sample018_mask.ome.tf8	ome-tiff	Pathological	Automatic	Fully automated de-identification	DeID-AI v5.0	true	false		CC BY 4.0	SM	Olympus	BX53	https://protocols.io/view/brightfield-imaging-vwx901	cellSens	https://doi.org/10.1016/j.ccell.2021.04.003	Multiplexed Immunofluorescence	UPLSAPO 40x/0.95	40	0.95	Air	true	Brightfield imaging complete	9606 (Homo sapiens)	Random Forest Segmentation	2.1.3	https://github.com/lab/random-forest-seg	Random Forest Classifier	Pixel Class	n_estimators=100, max_features=sqrt
HTA218_19_D19	HTA218_19_B19	sample019_mask.ome.btf	ome-tiff	Pathological	Not Applicable		No PHI present	true	false		CC BY 4.0	SM	Carl Zeiss	Axio Observer 7	https://protocols.io/view/fluorescence-protocol-yz234	ZEN Blue Edition	https://doi.org/10.1038/s41592-021-01203-6	Immunohistochemistry	Plan-Apochromat 100x/1.46	100	1.46	Oil	true	High magnification detail	9606 (Homo sapiens)	Multi-Scale Segmentation	1.3.5	https://github.com/lab/multiscale-seg	Multi-Scale Analysis	Subcellular Structure	scales=[1,2,4], fusion=average
HTA219_20_D20	HTA219_20_B20	sample020_mask.tiff	tiff	Pathological	Manual	Manual PHI removal process	Manual Workflow	true	true	true	CC BY 4.0	SM	PerkinElmer	Operetta CLS	https://protocols.io/view/operetta-protocol-abc567	Harmony High-Content Imaging	https://doi.org/10.1038/s41586-021-03398-2	Multiple Immunohistochemistry	Objective 60x/1.20	60	1.2	Water	true	High content analysis complete	9606 (Homo sapiens)	Probabilistic Segmentation	1.5.0	https://github.com/lab/probabilistic-seg	Bayesian Segmentation	Cell Probability Map	prior=gaussian, iterations=50
