FILE_FORMAT	FILENAME	ALIGNMENT_WORKFLOW_TYPE	MEAN_COVERAGE	TOTAL_READS	TOTAL_UNIQUELY_MAPPED	TOTAL_UNMAPPED_READS	PROPORTION_READS_MAPPED	LIBRARY_LAYOUT	SEQUENCING_PLATFORM	WORKFLOW_VERSION	GENOMIC_REFERENCE	HTAN_DATA_FILE_ID	HTAN_PARENT_ID	AVERAGE_BASE_QUALITY	AVERAGE_INSERT_SIZE	AVERAGE_READ_LENGTH	CONTAMINATION	CONTAMINATION_ERROR	PERCENT_GC_CONTENT	PROPORTION_COVERAGE_10X	PROPORTION_COVERAGE_30X	PROPORTION_READS_DUPLICATED	PROPORTION_TARGETS_NO_COVERAGE	SHORT_READS	PAIRS_ON_DIFF_CHR	PROPORTION_BASE_MISMATCH	CHECKSUM	SEQUENCING_BATCH_ID	GENOMIC_REFERENCE_URL	WORKFLOW_LINK	IS_LOWEST_LEVEL
cram	sample011.cram	BWA-MEM	118.7	51500000	49500000	2000000	0.961	Single-end	HELICOS	2.1.3	GRCh38	HTA210_8888888_D11	HTA210_8888888_B11	36.0	360	151	0.0014	0.00014	46.0	0.99	0.96	0.10	0.01	107000	51000	0.0013	abc890def123	BATCH011	https://genome.ref/grch38	https://dockstore.org/workflow11	false
bam	sample012.bam	BWA-MEM	92.4	46500000	44500000	2000000	0.957	Paired-end	COMPLETE_GENOMICS	2.2	GRCh37	HTA211_9999999_D12	HTA211_9999999_B12	35.4	354	149	0.0017	0.00017	44.7	0.97	0.93	0.13	0.02	96000	47000	0.0015	def123ghi456	BATCH012	https://genome.ref/grch37	https://dockstore.org/workflow12	true
cram	sample013.cram	BWA-MEM	108.2	49500000	47500000	2000000	0.959	Single-end	ION_TORRENT	2.0	GRCh19	HTA212_0000111_D13	HTA212_0000111_B13	35.9	359	150	0.0015	0.00015	45.8	0.98	0.95	0.11	0.02	101000	49000	0.0014	ghi456jkl789	BATCH013	https://genome.ref/hg19	https://dockstore.org/workflow13	false
bam	sample014.bam	BWA-MEM	122.6	52500000	50500000	2000000	0.962	Paired-end	OXFORD_NANOPORE	2.1.4	GRCh38.p12	HTA213_0000222_D14	HTA213_0000222_B14	36.3	363	151	0.0012	0.00012	46.3	0.99	0.96	0.10	0.01	109000	52000	0.0011	jkl789mno012	BATCH014	https://genome.ref/grch38	https://dockstore.org/workflow14	true
cram	sample015.cram	BWA-MEM	97.5	48500000	46500000	2000000	0.959	Single-end	PACBIO_SMRT	2.2.0	GRCh38	HTA214_0000333_D15	HTA214_0000333_B15	35.7	357	150	0.0016	0.00016	45.4	0.98	0.94	0.12	0.02	99000	48000	0.0013	mno012pqr345	BATCH015	https://genome.ref/grch38	https://dockstore.org/workflow15	false
bam	sample016.bam	BWA-MEM	113.9	50500000	48500000	2000000	0.96	Paired-end	ABI_SOLID	2.0.3	GRCh38	HTA215_0000444_D16	HTA215_0000444_B16	36.1	361	151	0.0013	0.00013	46.2	0.99	0.96	0.11	0.01	105000	50000	0.0012	pqr345stu678	BATCH016	https://genome.ref/grch38	https://dockstore.org/workflow16	true
cram	sample017.cram	BWA-MEM	88.3	46000000	44000000	2000000	0.957	Single-end	BGISEQ	2.1.5	GRCh38	HTA216_0000555_D17	HTA216_0000555_B17	35.2	353	149	0.0018	0.00018	44.6	0.97	0.93	0.13	0.03	94000	46000	0.0016	stu678vwx901	BATCH017	https://genome.ref/grch38	https://dockstore.org/workflow17	false
bam	sample018.bam	BWA-MEM	127.4	54000000	52000000	2000000	0.963	Single-end	LS454	2.2.2	GRCh38	HTA217_0000666_D18	HTA217_0000666_B18	36.6	366	152	0.001	0.0001	46.7	0.99	0.97	0.10	0.01	111000	53000	0.001	vwx901yz234	BATCH018	https://genome.ref/grch38	https://dockstore.org/workflow18	true
cram	sample019.cram	BWA-MEM	102.1	49000000	47000000	2000000	0.959	Paired-end	HELICOS	2.1	GRCh19	HTA218_0000777_D19	HTA218_0000777_B19	35.8	358	150	0.0014	0.00014	45.7	0.98	0.95	0.12	0.02	100000	49000	0.0013	yz234abc567	BATCH019	https://genome.ref/hg19	https://dockstore.org/workflow19	false
bam	sample020.bam	BWA-MEM	116.8	51000000	49000000	2000000	0.961	Paired-end	COMPLETE_GENOMICS	2.0.4	GRCh37	HTA219_0000888_D20	HTA219_0000888_B20	36.0	360	151	0.0015	0.00015	46.0	0.99	0.96	0.11	0.01	107000	51000	0.0014	abc567def890	BATCH020	https://genome.ref/grch37	https://dockstore.org/workflow20	false
