HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	LIBRARY_LAYOUT	SEQUENCING_PLATFORM	WORKFLOW_VERSION	GENOMIC_REFERENCE	CHECKSUM	GENOMIC_REFERENCE_URL	GENOME_ANNOTATION_URL	PROTOCOL_LINK	SEQUENCING_BATCH_ID	TECHNICAL_REPLICATE_GROUP	LIBRARY_PREPARATION_DAYS_FROM_INDEX	SOMATIC_VARIANTS_SAMPLE_TYPE	SOMATIC_VARIANTS_WORKFLOW_TYPE	SOMATIC_VARIANTS_WORKFLOW_URL	GERMLINE_VARIANTS_WORKFLOW_TYPE	GERMLINE_VARIANTS_WORKFLOW_URL	STRUCTURAL_VARIANT_WORKFLOW_TYPE	STRUCTURAL_VARIANT_WORKFLOW_URL	MSI_SCORE	MSI_STATUS	MSI_WORKFLOW_LINK	WORKFLOW_LINK
HTA204_5002_D2	HTA204_5002_B2	sample011_variants.vcf	vcf	Single-end	ILLUMINA	2.1.0	GRCh38	mnb345vfr678	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_005	TECH_REP_001	14	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	8.7	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA205_6001_D1	HTA205_6001_B1	sample012_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.2.0	GRCh38	cde567ujm890	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_006	TECH_REP_006	0	Metastatic	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	18.9	MSI-H	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.2.0
HTA205_6002_D2	HTA205_6002_B2	sample013_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.2.0	GRCh38	zab678cde901	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_006	TECH_REP_006	7	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.4	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.2.0
HTA206_7001_D1	HTA206_7001_B1	sample014_variants.vcf	vcf	Single-end	ILLUMINA	2.0.5	GRCh37	wer234sdf567	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25/	https://ftp.ensembl.org/pub/release-87/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_007	TECH_REP_001	21	Other	VarScan2	https://github.com/dkoboldt/varscan/releases/tag/2.4.4	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.1.0.0	Delly	https://github.com/dellytools/delly/releases/tag/v0.9.1	2.1	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/varscan:2.0.5
HTA206_7002_D2	HTA206_7002_B2	sample015_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.1.0	GRCh38	bnm678hjk901	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_007	TECH_REP_001	28	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.58	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA207_8001_D1	HTA207_8001_B1	sample016_variants.vcf.gz	vcf.gz	Paired-end	ION_TORRENT	1.8.3	GRCh38	fgh345jkl678	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-ion-torrent-protocol	BATCH_008	TECH_REP_007	14	Normal	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.8	Unknown	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/ion-torrent:1.8.3
HTA207_8002_D2	HTA207_8002_B2	sample017_variants.vcf	vcf	Paired-end	ILLUMINA	2.1.0	GRCh38	qaz123wsx456	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_008	TECH_REP_001	42	Recurrent	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	11.3	MSI-H	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA208_9001_D1	HTA208_9001_B1	sample018_variants.vcf.gz	vcf.gz	Single-end	ILLUMINA	2.1.0	GRCh38	edc098ijn765	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_009	TECH_REP_001	0	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.71	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA208_9002_D2	HTA208_9002_B2	sample019_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.2.0	GRCh38	yhn456ujm789	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_009	TECH_REP_008	14	Primary	VarScan2	https://github.com/dkoboldt/varscan/releases/tag/2.4.4	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	Delly	https://github.com/dellytools/delly/releases/tag/v0.9.1	5.6	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/varscan:2.2.0
HTA209_10001_D1	HTA209_10001_B1	sample020_variants.vcf	vcf	Paired-end	ILLUMINA	2.1.0	GRCh37	rfv234tgb567	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25/	https://ftp.ensembl.org/pub/release-87/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_010	TECH_REP_001	21	Metastatic	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.55	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
