FILE_FORMAT	FILENAME	ALIGNMENT_WORKFLOW_TYPE	MEAN_COVERAGE	TOTAL_READS	TOTAL_UNIQUELY_MAPPED	TOTAL_UNMAPPED_READS	PROPORTION_READS_MAPPED	LIBRARY_LAYOUT	SEQUENCING_PLATFORM	WORKFLOW_VERSION	GENOMIC_REFERENCE	HTAN_DATA_FILE_ID	HTAN_PARENT_ID	AVERAGE_BASE_QUALITY	AVERAGE_INSERT_SIZE	AVERAGE_READ_LENGTH	CONTAMINATION	PERCENT_GC_CONTENT	PROPORTION_COVERAGE_10X	PROPORTION_COVERAGE_30X	PROPORTION_READS_DUPLICATED	PROPORTION_TARGETS_NO_COVERAGE	SEQUENCING_BATCH_ID	GENOMIC_REFERENCE_URL	CHECKSUM
cram	sample011_aligned.cram	BWA-MEM	48.1	156000000	149280000	6720000	0.957	Paired-end	PacBio	2.1.9	GRCh38	HTA210_1011_D11	HTA210_1011_B11	36.3	348	150	0.001	42.6	0.982	0.925	0.135	0.019	BATCH011	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:efg123hij456
bam	sample012_aligned.bam	BWA-MEM	50.7	159000000	152280000	6720000	0.958	Paired-end	Pacific Biosciences	2.2.3	GRCh38	HTA211_1012_D12	HTA211_1012_B12	36.6	352	149	0.0009	42.4	0.99	0.94	0.128	0.016	BATCH012	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:hij789klm012
cram	sample013_aligned.cram	BWA-MEM	46.4	153000000	146880000	6120000	0.96	Paired-end	PacBio SMRT	2.1.6	GRCh38	HTA212_1013_D13	HTA212_1013_B13	35.7	358	150	0.0011	41.7	0.978	0.92	0.142	0.021	BATCH013	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:klm345nop678
bam	sample014_aligned.bam	BWA-MEM	49.9	158000000	151640000	6360000	0.96	Paired-end	Oxford Nanopore Tech	2.2.6	GRCh38	HTA213_1014_D14	HTA213_1014_B14	36.4	346	151	0.001	42.7	0.988	0.938	0.122	0.017	BATCH014	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:nop901qrs234
cram	sample015_aligned.cram	BWA-MEM	47.8	155000000	148800000	6200000	0.96	Paired-end	Nanopore	2.1.7	GRCh38	HTA214_1015_D15	HTA214_1015_B15	35.9	342	150	0.0012	42.1	0.98	0.928	0.138	0.02	BATCH015	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:qrs567tuv890
bam	sample016_aligned.bam	BWA-MEM	52.5	163000000	156880000	6120000	0.962	Paired-end	ONT	2.3.1	GRCh38	HTA215_1016_D16	HTA215_1016_B16	37.0	354	149	0.0008	43.1	0.996	0.948	0.115	0.013	BATCH016	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:tuv123wxy456
cram	sample017_aligned.cram	BWA-MEM	45.2	151000000	144960000	6040000	0.96	Paired-end	Ion Torrent Sequencer	2.1.4	GRCh38	HTA216_1017_D17	HTA216_1017_B17	35.4	338	150	0.0013	41.6	0.972	0.915	0.152	0.024	BATCH017	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:wxy789zab012
bam	sample018_aligned.bam	BWA-MEM	51.3	161000000	154560000	6440000	0.96	Paired-end	Thermo Fisher Ion Torrent	2.2.9	GRCh38	HTA217_1018_D18	HTA217_1018_B18	36.7	356	151	0.0007	42.8	0.992	0.942	0.118	0.014	BATCH018	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:zab345cde678
cram	sample019_aligned.cram	BWA-MEM	48.6	157000000	150720000	6280000	0.96	Paired-end	454	2.1.2	GRCh38	HTA218_1019_D19	HTA218_1019_B19	36.1	344	150	0.001	42.3	0.985	0.932	0.132	0.018	BATCH019	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:cde901fgh234
bam	sample020_aligned.bam	BWA-MEM	50.1	159000000	152640000	6360000	0.96	Paired-end	Roche 454	2.2.4	GRCh38	HTA219_1020_D20	HTA219_1020_B20	36.5	350	149	0.0009	42.5	0.99	0.936	0.125	0.016	BATCH020	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:fgh567ijk890
