HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	IMAGE_MODALITY	STAINING_METHOD	SPECIES	LICENSE	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	IMAGING_SOFTWARE	IMAGING_PROTOCOL	CITATION_OR_DOI	HAS_ANNOTATIONS	ANNOTATION_TYPE	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	DE_IDENTIFIED	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_SOFTWARE	PASSED_QC	QC_COMMENT
HTA210_11011_D11	HTA210_11011_B11	slide011.tiff	tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	NanoZoomer S210	Olympus UPlanFLN 10x/0.30	10	0.30	Air	NDP.view	https://protocols.io/view/hne-basic-stu901	https://doi.org/10.1234/example.011	false	Not Applicable	true	true	true	Not Applicable	Not applicable - no PHI in digital images	Hamamatsu	true	Low magnification overview
HTA211_12012_D12	HTA211_12012_B12	slide012.ome.tif	ome-tiff	Pathological	SM	MIBI	9606 (Homo sapiens)	CC BY 4.0	Ionpath	MIBIscope	MIBIscope 40x objective	40	0.95	Air	MIBItracker	https://protocols.io/view/mibi-protocol-hij789	https://doi.org/10.1234/example.012	true	Cell	true	true	true	Semiautomatic	Semi-automated PHI detection with manual verification	MIBIcontrol	true	MIBI imaging acquired
HTA212_13013_D13	HTA212_13013_B13	slide013.svs	svs	Pathological	SM	IHC	9606 (Homo sapiens)	CC BY 4.0	Leica	Aperio AT2	Leica N Plan 20x/0.40	20	0.40	Air	Aperio ImageScope	https://protocols.io/view/ihc-standard-vwx234	https://doi.org/10.1234/example.013	true	Tissue	false	false	true	Automatic	Automated PHI removal using Aperio algorithms	Leica	true	IHC staining optimal
HTA213_14014_D14	HTA213_14014_B14	slide014.ome.tiff	ome-tiff	Pathological	SM	SABER	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Imager.Z2	Zeiss Plan-Apochromat 63x/1.4	63	1.4	Oil	ZEN Blue	https://protocols.io/view/saber-protocol-klm012	https://doi.org/10.1234/example.014	false	Not Applicable	true	true	true	Manual	Manual review and redaction of all metadata fields	Zeiss Privacy Suite	true	SABER probe hybridization complete
HTA214_15015_D15	HTA214_15015_B15	slide015.qptiff	qptiff	Pathological	SM	MERFISH	9606 (Homo sapiens)	CC BY 4.0	Vizgen	MERSCOPE	Vizgen 60x objective	60	1.2	Oil	Vizgen MERSCOPE	https://protocols.io/view/merfish-protocol-yza567	https://doi.org/10.1234/example.015	true	Cell	true	true	true	Automatic	Automated de-identification integrated in MERSCOPE workflow	Vizgen	true	MERFISH encoding rounds complete
HTA215_16016_D16	HTA215_16016_B16	slide016.tif	tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Olympus	VS200	Olympus UPlanSApo 40x/0.95	40	0.95	Air	cellSens	https://protocols.io/view/hne-olympus-nop345	https://doi.org/10.1234/example.016	false	Not Applicable	false	false	true	Not Applicable	Not applicable - slides pre-processed without PHI	Olympus	true	Standard diagnostic H&E
HTA216_17017_D17	HTA216_17017_B17	slide017.ome.tif	ome-tiff	Pathological	SM	ExSeq	9606 (Homo sapiens)	CC BY 4.0	Nikon	Ti2-E	Nikon CFI Plan Apo Lambda 60x/1.4	60	1.4	Oil	NIS-Elements	https://protocols.io/view/exseq-protocol-bcd890	https://doi.org/10.1234/example.017	true	Nucleus	true	true	true	Semiautomatic	Semi-automated screening with manual confirmation	Nikon Privacy Module	true	ExSeq sequencing cycles complete
HTA217_18018_D18	HTA217_18018_B18	slide018.svs	svs	Pathological	SM	mIHC	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	NanoZoomer XR	Olympus UPlanSApo 20x/0.75	20	0.75	Air	NDP.view	https://protocols.io/view/mihc-hamamatsu-qrs678	https://doi.org/10.1234/example.018	true	Artifact	false	false	true	Manual	Manual de-identification by certified staff	Hamamatsu	true	Multiplex panel with some artifacts
HTA218_19019_D19	HTA218_19019_B19	slide019.ome.tiff	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	Leica	Thunder Imager	Leica HC PL APO 20x/0.80	20	0.80	Air	LAS X AF	https://protocols.io/view/cycif-advanced-efg123	https://doi.org/10.1234/example.019	false	Not Applicable	true	true	true	Automatic	Automated PHI detection and removal pipeline	Leica	true	CyCIF autofluorescence imaging
HTA219_20020_D20	HTA219_20020_B20	slide020.ome.tf8	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Imager.Z2	Zeiss EC Plan-Neofluar 10x/0.30	10	0.30	Air	ZEN	https://protocols.io/view/hne-zeiss-tuv901	https://doi.org/10.1234/example.020	true	Tissue	true	true	true	Not Applicable	Not applicable - no identifiable information present	Zeiss	true	H&E tissue overview scan
