HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFIED	LICENSE	IMAGE_MODALITY	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	CITATION_OR_DOI	IMAGING_PROTOCOL	STAINING_METHOD	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	PASSED_QC	QC_COMMENT	SPECIES	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	SEGMENTATION_WORKFLOW_TYPE	SEGMENTATION_METHOD	SEGMENTATION_ANNOTATION_TYPE	SEGMENTATION_PARAMETERS	SEGMENTATION_WORKFLOW_VERSION	SEGMENTATION_WORKFLOW_URL	IMAGING_SOFTWARE	DE_IDENTIFICATION_SOFTWARE
HTA210_6666_D11	HTA210_6666_B11	sample011.ome.tiff	ome-tiff	Pathological	Automatic	Automatic redaction	true	CC BY 4.0	SM	Leica	TCS SP5	https://doi.org/10.1234/example11	https://protocols.io/view/example11	ExSeq	HCX PL APO 40x	40	1.25	Oil	true	Very good	9606 (Homo sapiens)	false		Semantic segmentation	U-Net	Tissue	layers=4	v1.3	https://github.com/example/workflow11	LAS	AutoRedactor
HTA211_7777_D12	HTA211_7777_B12	sample012.ome.tif	ome-tiff	Pathological	Semiautomatic	Semi-automated process	true	CC BY 4.0	SM	Nikon	Eclipse Ti	https://doi.org/10.1234/example12	https://protocols.io/view/example12	GeoMX-DSP	Plan Fluor 20x	20	0.50	Air	true	Acceptable	9606 (Homo sapiens)	true	True	Region-based	Watershed	ROI	markers=auto	v1.0	https://github.com/example/workflow12	NIS-E	SemiAuto
HTA212_8888_D13	HTA212_8888_B13	sample013.ome.tiff	ome-tiff	Pathological	Automatic	Automated PHI removal	true	CC BY 4.0	SM	Olympus	FV1200	https://doi.org/10.1234/example13	https://protocols.io/view/example13	mIHC	UPLSAPO 60X	60	1.35	Water	true	Good quality	9606 (Homo sapiens)	false		Pixel classification	Random Forest	Cell	n_estimators=100	v1.4	https://github.com/example/workflow13	FV10-ASW	AutoPHI
HTA213_9999_D14	HTA213_9999_B14	sample014.ome.tif	ome-tiff	Pathological	Manual	Manual PHI redaction	true	CC BY 4.0	SM	Zeiss	Axio Observer	https://doi.org/10.1234/example14	https://protocols.io/view/example14	CODEX	EC Plan-Neofluar 40x	40	0.75	Air	true	High quality	9606 (Homo sapiens)	true	false	Multi-scale segmentation	CellPose 2.0	Cell	model=cyto3	v2.0	https://github.com/example/workflow14	AxioVision	ManualPHI
HTA214_1234_D15	HTA214_1234_B15	sample015.ome.tiff	ome-tiff	Pathological	Automatic	Automatic de-identification	true	CC BY 4.0	SM	Leica	DMi8	https://doi.org/10.1234/example15	https://protocols.io/view/example15	CyCIF	N PLAN 10x	10	0.25	Air	true	Passed	9606 (Homo sapiens)	false		Edge detection	Canny edge	Cell	sigma=1.0	v1.0	https://github.com/example/workflow15	LAS Core	AutoDeidentify
HTA215_5678_D16	HTA215_5678_B16	sample016.ome.tif	ome-tiff	Pathological	Semiautomatic	Semi-automatic method	true	CC BY 4.0	SM	Nikon	C2 Plus	https://doi.org/10.1234/example16	https://protocols.io/view/example16	MERFISH	CFI Plan Apo 40x	40	0.95	Glycerol	true	Good	9606 (Homo sapiens)	true	TRUE	Contour detection	OpenCV	Nucleus	method=CHAIN_APPROX_SIMPLE	v1.0	https://github.com/example/workflow16	NIS-C	SemiAutomatic
HTA216_9012_D17	HTA216_9012_B17	sample017.ome.tiff	ome-tiff	Pathological	Automatic	Automated redaction	true	CC BY 4.0	SM	Olympus	BX53	https://doi.org/10.1234/example17	https://protocols.io/view/example17	H&E	UPlanFl 20x	20	0.50	Air	true	Acceptable	9606 (Homo sapiens)	false		Morphological segmentation	Morphology	Tissue	operation=opening	v1.0	https://github.com/example/workflow17	cellSens Dimension	AutoRedaction
HTA217_3456_D18	HTA217_3456_B18	sample018.ome.tif	ome-tiff	Pathological	Manual	Manual process	true	CC BY 4.0	SM	Zeiss	Elyra 7	https://doi.org/10.1234/example18	https://protocols.io/view/example18	IHC	Plan-Apochromat 63x	63	1.40	Oil	true	Excellent	9606 (Homo sapiens)	true	yes	Graph-based segmentation	Graph Cut	Cell	lambda=0.5	v1.2	https://github.com/example/workflow18	ZEN Black	ManualProcess
HTA218_7890_D19	HTA218_7890_B19	sample019.ome.tiff	ome-tiff	Pathological	Automatic	Automatic method	true	CC BY 4.0	SM	Leica	DM6000	https://doi.org/10.1234/example19	https://protocols.io/view/example19	IMC	HCX PL FLUOTAR 20x	20	0.40	Air	true	Good	9606 (Homo sapiens)	false		Level set segmentation	Active Contours	Nucleus	iterations=100	v1.0	https://github.com/example/workflow19	LAS V4	AutoMethod
HTA219_1111_D20	HTA219_1111_B20	sample020.ome.tif	ome-tiff	Pathological	Semiautomatic	Semi-automated workflow	true	CC BY 4.0	SM	Nikon	Ti-E	https://doi.org/10.1234/example20	https://protocols.io/view/example20	MxIF	Plan Apo 60x	60	1.40	Water	true	Very good	9606 (Homo sapiens)	true	True	Ensemble segmentation	Ensemble methods	Cell	models=3	v1.5	https://github.com/example/workflow20	NIS-Elements AR	SemiAutomated
